city;lat;lon;L
Aachen;50.7756;6.0836;false
Aalen;48.8333;10.1;true
Achern;48.6333;8.0667;true
Achim;53.0653;9.0342;false
Adendorf;53.2833;10.45;false
Aerzen;52.0496;9.2638;false
Ahaus;52.0667;7;false
Ahlen;51.7633;7.8911;false
Ahrensburg;53.6747;10.2411;false
Ahrensbök;54.0167;10.5833;false
Ahrensfelde;52.5762;13.5753;false
Aichach;48.45;11.1333;true
Albstadt;48.2119;9.0239;true
Alfeld;51.9886;9.8269;false
Alsdorf;50.8833;6.1667;false
Alsfeld;50.7511;9.2711;false
Altenburg;50.985;12.4333;false
Altenholz;54.4;10.1333;false
Altenstadt;50.2856;8.945;false
Altlandsberg;52.5667;13.7331;false
Alzenau in Unterfranken;50.0667;9.0667;false
Alzey;49.7458;8.1153;false
Amberg;49.4444;11.8483;true
Andernach;50.4397;7.4017;true
Angermünde;53.0333;14;true
Annaberg-Buchholz;50.58;13.0022;false
Ansbach;49.3;10.5833;false
Apen;53.2214;7.8097;false
Apolda;51.0167;11.5167;false
Arnsberg;51.3833;8.0833;false
Arnstadt;50.8342;10.9464;false
Artern;51.3667;11.3;false
Aschaffenburg;49.9667;9.15;false
Aschersleben;51.75;11.4667;false
Aue;50.5853;12.7008;false
Auerbach;50.5094;12.4;false
Augsburg;48.3689;10.8978;false
Aurich;53.4714;7.4836;false
Aßlar;50.5833;8.4667;false
Babenhausen;49.9667;8.95;false
Backnang;48.9464;9.4306;false
Bad Aibling;47.8667;12.0167;false
Bad Bentheim;52.3031;7.1597;false
Bad Berka;50.9;11.2808;false
Bad Blankenburg;50.6833;11.2667;false
Bad Bramstedt;53.9186;9.8844;false
Bad Camberg;50.3;8.2667;false
Bad Dürkheim;49.4594;8.1681;true
Bad Dürrenberg;51.2833;12.0667;false
Bad Essen;52.3214;8.34;false
Bad Fallingbostel;52.8675;9.6967;false
Bad Frankenhausen;51.3558;11.1011;true
Bad Freienwalde;52.7856;14.0325;false
Bad Harzburg;51.8811;10.5622;false
Bad Hersfeld;50.8683;9.7075;false
Bad Homburg;50.2167;8.6;false
Bad Honnef am Rhein;50.645;7.2269;false
Bad Iburg;52.1592;8.0472;false
Bad Kissingen;50.2;10.0667;false
Bad Kreuznach;49.85;7.8667;false
Bad Krozingen;47.9167;7.7;false
Bad Langensalza;51.1081;10.6467;false
Bad Lauterberg;51.6317;10.4706;false
Bad Liebenstein;50.8144;10.3542;true
Bad Liebenwerda;51.5167;13.4;false
Bad Mergentheim;49.5;9.7667;false
Bad Münder am Deister;52.1992;9.4653;false
Bad Nauheim;50.3667;8.75;false
Bad Nenndorf;52.3369;9.3786;false
Bad Neuenahr-Ahrweiler;50.5447;7.1133;false
Bad Neustadt;50.3219;10.2161;false
Bad Oeynhausen;52.2;8.8;true
Bad Oldesloe;53.8117;10.3742;false
Bad Orb;50.2167;9.35;false
Bad Pyrmont;51.9867;9.2636;true
Bad Rappenau;49.2333;9.1;false
Bad Saarow-Pieskow;52.2916;14.0558;false
Bad Salzdetfurth;52.0653;10.0092;false
Bad Salzuflen;52.0833;8.7467;false
Bad Salzungen;50.8117;10.2333;false
Bad Schwalbach;50.1333;8.0667;false
Bad Schwartau;53.9194;10.6975;false
Bad Segeberg;53.9167;10.3167;false
Bad Soden am Taunus;50.1333;8.5;false
Bad Soden-Salmünster;50.2667;9.3667;false
Bad Sulza;51.0875;11.6222;false
Bad Säckingen;47.55;7.95;false
Bad Tölz;47.7603;11.5567;false
Bad Vilbel;50.1781;8.7361;false
Bad Waldsee;47.9211;9.7519;false
Bad Wildungen;51.1167;9.1167;true
Bad Wörishofen;48.0058;10.5969;false
Bad Zwischenahn;53.1836;8.0097;false
Baden-Baden;48.7628;8.2408;false
Baesweiler;50.9;6.1833;false
Balingen;48.2731;8.8506;false
Bamberg;49.8914;10.8869;false
Bannewitz;50.9931;13.7167;false
Bargteheide;53.7167;10.2667;false
Barmstedt;53.7833;9.7667;false
Barsbüttel;53.5667;10.1667;true
Barsinghausen;52.3;9.4811;true
Barßel;53.1703;7.7467;false
Basdorf;52.7142;13.4392;false
Bassum;52.8494;8.7267;false
Baunatal;51.2589;9.4183;false
Bautzen;51.1814;14.4242;false
Bayreuth;49.9481;11.5783;false
Bebra;50.9711;9.7903;false
Beckingen;49.3928;6.7008;false
Beckum;51.755;8.0403;false
Beelitz;52.2333;12.9667;false
Beeskow;52.1667;14.25;false
Belm;52.3;8.1333;false
Belzig;52.1422;12.5956;false
Bendorf;50.4297;7.5703;false
Bensheim;49.6667;8.6167;false
Bergheim;50.9667;6.65;false
Bergisch Gladbach;50.9918;7.1303;false
Bergkamen;51.6167;7.6333;false
Berlin;52.52;13.405;false
Bernburg;51.8;11.7333;true
Bestensee;52.234;13.6307;false
Betzdorf;50.7856;7.8728;false
Beverstedt;53.434;8.8183;false
Bexbach;49.3494;7.2594;false
Biberach;48.1;9.7833;false
Bieber;50.6;8.5833;true
Biedenkopf;50.9128;8.5322;false
Bielefeld;52.0211;8.5347;false
Biesenthal;52.7667;13.6333;false
Bietigheim-Bissingen;48.9667;9.1333;false
Bingen am Rhein;49.9667;7.9;false
Birkenwerder;52.6885;13.2831;false
Bischofsheim;49.989;8.355;true
Bischofswerda;51.1275;14.1797;false
Bissendorf;52.2333;8.1667;false
Bitburg;49.9667;6.5333;false
Bitterfeld;51.6167;12.3167;false
Blankenburg;51.7953;10.9622;false
Blankenfelde;52.35;13.4;false
Blankenhain;50.86;11.3439;false
Bleicherode;51.4167;10.5667;false
Blieskastel;49.2333;7.25;false
Bobenheim-Roxheim;49.5839;8.3611;false
Bobingen;48.2667;10.8167;false
Bocholt;51.8333;6.6167;false
Bochum;51.4819;7.2158;false
Bohmte;52.3667;8.3167;false
Boizenburg;53.3667;10.7167;false
Bonn;50.7333;7.1;false
Boostedt;54.0089;10.0258;false
Boppard;50.2314;7.5908;false
Bordesholm;54.1833;10.0167;false
Borken;51.8333;6.8667;false
Borna;51.1167;12.5;false
Bornheim;50.7592;7.005;false
Bottrop;51.5247;6.9228;false
Bous;49.2667;6.7833;false
Bovenden;51.5897;9.9222;false
Brackenheim;49.0833;9.0667;false
Brake;53.3333;8.4833;false
Bramsche;52.4;7.9833;true
Brandenburg;52.4167;12.5333;false
Braunfels;50.5167;8.3833;false
Braunsbedra;51.2833;11.9;false
Braunschweig;52.2667;10.5167;false
Bredstedt;54.62;8.9644;false
Breisach am Rhein;48.0333;7.5833;false
Bremen;53.0833;8.8;false
Bremerhaven;53.55;8.5833;false
Bremervörde;53.4833;9.1333;false
Bretten;49.0364;8.7061;true
Brieselang;52.5833;13;false
Brilon;51.3956;8.5678;false
Bruchköbel;50.1833;8.9167;false
Bruchsal;49.1333;8.6;false
Bruckmühl;47.8833;11.9167;false
Brunsbüttel;53.8964;9.1386;false
Brühl;50.8333;6.9;false
Buchen in Odenwald;49.5217;9.3233;true
Buchholz in der Nordheide;53.3167;9.8667;false
Burg;52.2725;11.855;true
Burgdorf;52.45;10.0083;true
Burgstädt;50.9167;12.8167;false
Buttstädt;51.1167;11.4167;false
Butzbach;50.4367;8.6622;false
Buxtehude;53.4769;9.7011;false
Böblingen;48.6856;9.0153;false
Böhl-Iggelheim;49.3714;8.3086;false
Büchen;53.4833;10.6167;false
Bückeburg;52.2608;9.0492;false
Büdelsdorf;54.3167;9.6833;false
Büdingen;50.2908;9.1125;true
Bühl;48.6953;8.135;false
Bünde;52.2;8.6;false
Bürstadt;49.6333;8.45;true
Büttelborn;49.9022;8.5137;false
Calau;51.7458;13.9508;false
Calw;48.7167;8.7333;false
Castrop-Rauxel;51.55;7.3167;true
Celle;52.6256;10.0825;false
Chemnitz;50.8333;12.9167;false
Clausthal-Zellerfeld;51.805;10.3356;false
Cloppenburg;52.85;8.05;false
Coburg;50.2667;10.9667;false
Coesfeld;51.95;7.1667;false
Cologne;50.9364;6.9528;false
Coswig;51.8833;12.4333;false
Cottbus;51.7606;14.3342;false
Crailsheim;49.1347;10.0706;false
Cremlingen;52.2489;10.6542;false
Crimmitschau;50.8181;12.3875;false
Cuxhaven;53.8611;8.6944;false
Dachau;48.2603;11.4342;false
Dallgow-Döberitz;52.5331;13.05;false
Damme;52.5208;8.1986;false
Darmstadt;49.8722;8.6528;false
Datteln;51.6539;7.3417;false
Dautphe;50.8583;8.55;false
Deggendorf;48.8333;12.9667;false
Delbrück;51.7667;8.5667;false
Delitzsch;51.5264;12.3425;false
Delmenhorst;53.0506;8.6317;false
Dermbach;50.7164;10.1197;false
Dessau-Roßlau;51.8333;12.2333;false
Detmold;51.9378;8.8833;false
Dieburg;49.9;8.85;false
Diepholz;52.6072;8.3711;false
Dietzenbach;50.0167;8.7833;false
Diez;50.3708;8.0158;false
Dillenburg;50.7333;8.2833;false
Dillingen;49.35;6.7333;false
Dingelstädt;51.3156;10.3194;false
Dingolfing;48.6333;12.5;false
Dinklage;52.6667;8.1333;false
Dinslaken;51.5667;6.7333;false
Dippoldiswalde;50.8933;13.6667;false
Ditzingen;48.8264;9.0667;false
Doberlug-Kirchhain;51.6167;13.5667;true
Donaueschingen;47.9531;8.5033;false
Donauwörth;48.7;10.8;false
Dormagen;51.1;6.8167;false
Dorsten;51.66;6.9642;false
Dortmund;51.5167;7.4667;false
Drebkau;51.65;14.2167;false
Dreieich;50;8.7;false
Dresden;51.05;13.74;false
Drochtersen;53.7;9.3833;false
Duderstadt;51.5125;10.2597;true
Duisburg;51.4347;6.7625;false
Döbeln;51.1194;13.1128;false
Dülmen;51.8308;7.2783;false
Düren;50.8;6.4833;false
Düsseldorf;51.2333;6.7833;false
Ebersbach an der Fils;48.7147;9.5236;false
Eberswalde;52.8333;13.8333;false
Eckernförde;54.4742;9.8378;false
Edemissen;52.3667;10.2667;false
Edewecht;53.1258;7.9825;false
Egelsbach;49.9694;8.6667;false
Eggenstein-Leopoldshafen;49.0778;8.3925;false
Ehingen an der Donau;48.2833;9.7236;false
Eichenzell;50.4934;9.6961;true
Eichwalde;52.373;13.6213;false
Eilenburg;51.4608;12.6358;false
Einbeck;51.8167;9.8667;false
Eisenach;50.9761;10.3206;false
Eisenberg;50.9667;11.9;false
Eisenhüttenstadt;52.145;14.6728;false
Eisfeld;50.4167;10.9167;true
Eislingen;48.6933;9.7067;false
Ellerau;53.75;9.9167;false
Ellrich;51.5856;10.6681;false
Elmshorn;53.7519;9.6511;false
Elsterwerda;51.4578;13.5239;false
Emden;53.3669;7.2061;false
Emmendingen;48.1214;7.8492;false
Emsbüren;52.3925;7.2914;false
Emsdetten;52.1728;7.5344;false
Emstek;52.8167;8.15;false
Ennepetal;51.2833;7.3333;false
Ensdorf;49.3;6.7667;false
Eppelborn;49.4022;6.9706;false
Eppelheim;49.4;8.6333;false
Eppingen;49.1333;8.9167;false
Eppstein;50.1333;8.4;false
Erbach;49.6569;8.9931;false
Erding;48.2833;11.9;false
Erftstadt;50.8167;6.7667;false
Erfurt;50.9833;11.0333;false
Erkelenz;51.0833;6.3167;false
Erkner;52.4167;13.75;true
Erkrath;51.2239;6.9147;false
Erlangen;49.5833;11.0167;false
Erlensee;50.1333;8.9333;false
Eschborn;50.1436;8.57;false
Eschwege;51.1881;10.0528;false
Eschweiler;50.8167;6.2833;false
Essen;51.4508;7.0131;false
Esslingen;48.7333;9.3167;false
Ettlingen;48.9333;8.4;false
Euskirchen;50.6597;6.7917;false
Eutin;54.1378;10.6181;false
Fahrland;52.4675;13.0139;false
Falkenberg;51.5831;13.2322;false
Falkensee;52.5583;13.0917;false
Fehmarnsund;54.4454;11.1702;false
Fehrbellin;52.8144;12.7661;false
Fellbach;48.8086;9.2758;false
Felsberg;51.1333;9.4167;false
Filderstadt;48.6803;9.2183;false
Finsterwalde;51.6282;13.7102;false
Flensburg;54.7819;9.4367;false
Flintbek;54.2433;10.0633;true
Flöha;50.8558;13.0714;false
Flörsheim;50.0167;8.4333;false
Fockbek;54.305;9.6008;false
Forchheim;49.7197;11.0581;false
Forst (Lausitz);51.7333;14.6333;false
Frankenberg;51.0589;8.7967;false
Frankenthal;49.5333;8.35;false
Frankfurt;50.1106;8.6822;false
Frankfurt (Oder);52.3419;14.5517;false
Frechen;50.9167;6.8167;false
Freiberg;50.9119;13.3428;false
Freiberg am Neckar;48.9333;9.2;false
Freiburg im Breisgau;47.995;7.85;false
Freisen;49.5493;7.252;false
Freising;48.4028;11.7489;false
Freital;51.0167;13.65;false
Freudenstadt;48.4633;8.4111;false
Friedberg;48.35;10.9833;false
Friedeburg;53.45;7.8333;false
Friedland;51.4167;9.9333;false
Friedrichroda;50.8667;10.5667;false
Friedrichsdorf;50.2556;8.6397;false
Friedrichshafen;47.65;9.4833;true
Friedrichsthal;49.3256;7.0961;false
Friesoythe;53.0206;7.8586;false
Fritzlar;51.1333;9.2833;false
Frohburg;51.0561;12.555;false
Fulda;50.5508;9.6753;false
Fuldatal;51.3484;9.5256;false
Föritz;50.35;11.2417;false
Fürstenberg;53.1853;13.1456;false
Fürstenfeldbruck;48.1778;11.2556;false
Fürstenwalde;52.3667;14.0667;false
Fürth;49.4667;11;false
Füssen;47.5667;10.7;false
Gaggenau;48.8039;8.3194;false
Ganderkesee;53.0358;8.5483;false
Garbsen;52.4183;9.5981;false
Garching bei München;48.25;11.65;false
Gardelegen;52.5264;11.3925;false
Garmisch-Partenkirchen;47.5;11.0833;false
Garrel;52.9581;8.0253;false
Gauting;48.0678;11.3739;false
Geesthacht;53.4375;10.3675;false
Gehrden;52.3117;9.6003;false
Geilenkirchen;50.9653;6.1194;false
Geisenheim;49.9844;7.9672;true
Geislingen an der Steige;48.6244;9.8306;false
Geldern;51.5197;6.3325;false
Gelnhausen;50.2;9.1667;false
Gelsenkirchen;51.5167;7.1;false
Genthin;52.4;12.1667;false
Georgsmarienhütte;52.2;8.0667;false
Gera;50.8806;12.0833;false
Geretsried;47.8667;11.4667;false
Gerlingen;48.8;9.0653;false
Germering;48.1333;11.3667;false
Germersheim;49.2167;8.3667;false
Gernsheim;49.75;8.4833;false
Gerolzhofen;49.9011;10.3489;false
Gersheim;49.1333;7.2;false
Gersthofen;48.4167;10.8667;false
Gerstungen;50.9625;10.0597;false
Gettorf;54.4078;9.9742;false
Gevelsberg;51.3167;7.3333;false
Giengen an der Brenz;48.6217;10.245;false
Gießen;50.5833;8.6667;false
Gifhorn;52.4886;10.5464;false
Gilching;48.1103;11.3011;false
Ginsheim-Gustavsburg;49.9833;8.3333;false
Gladbeck;51.5667;6.9667;false
Gladenbach;50.7681;8.5828;false
Glauchau;50.8233;12.5444;false
Glinde;53.5406;10.2111;false
Glücksburg;54.8336;9.55;false
Glückstadt;53.7917;9.4219;false
Goch;51.6839;6.1619;false
Goldenstedt;52.7833;8.4167;false
Gommern;52.0667;11.8333;false
Goslar;51.9072;10.43;false
Gotha;50.9489;10.7183;false
Gransee;53.0069;13.1586;false
Greiz;50.6547;12.1997;false
Greußen;51.2292;10.9475;false
Greven;52.0917;7.6083;false
Grevenbroich;51.0883;6.5875;false
Grevesmühlen;53.8667;11.1667;false
Griesheim;49.8639;8.5639;false
Grimma;51.2386;12.7253;false
Gronau;52.2125;7.0417;false
Groß Kreutz;52.3997;12.7831;false
Groß-Gerau;49.9192;8.485;false
Groß-Umstadt;49.8667;8.9333;true
Groß-Zimmern;49.8726;8.8343;false
Großbeeren;52.3551;13.3079;false
Großbreitenbach;50.5828;11.0106;false
Großburgwedel;52.4933;9.8586;false
Großenhain;51.2833;13.55;false
Großenkneten;52.95;8.2667;true
Großhansdorf;53.6667;10.2667;false
Großostheim;49.9167;9.0833;false
Großrosseln;49.203;6.8415;false
Großräschen;51.5831;14;false
Gräfenhainichen;51.7167;12.4333;false
Gröbenzell;48.2;11.3667;false
Gröditz;51.4167;13.4667;false
Grömitz;54.1536;10.9575;false
Grünberg;50.6;8.95;false
Grünheide;52.4255;13.8228;false
Grünstadt;49.5692;8.1681;false
Guben;51.9533;14.7167;false
Gummersbach;51.0333;7.5667;false
Gunzenhausen;49.1147;10.7542;false
Göppingen;48.7025;9.6528;false
Görlitz;51.1528;14.9872;false
Göttingen;51.5339;9.9356;false
Günzburg;48.4527;10.2713;false
Gütersloh;51.9;8.3833;false
Haan;51.1667;7;false
Haar;48.1;11.7333;false
Hadamar;50.45;8.05;false
Hagen;51.3667;7.4833;false
Hagen im Bremischen;53.3577;8.6456;false
Hagenow;53.4167;11.1833;false
Haiger;50.7422;8.2039;false
Halberstadt;51.8958;11.0467;true
Haldensleben;52.2833;11.4167;false
Halle;51.4828;11.9697;false
Halle-Neustadt;51.4789;11.9214;false
Halstenbek;53.6334;9.8372;false
Hamburg;53.55;10;false
Hambühren;52.6333;9.9833;false
Hameln;52.1;9.3667;false
Hamm;51.6833;7.8167;false
Hamminkeln;51.7319;6.5908;false
Hanau;50.1328;8.9169;false
Handewitt;54.7667;9.3167;false
Hannover;52.3667;9.7167;false
Hannoversch Münden;51.4167;9.65;false
Haren;52.7667;7.2167;false
Harrislee;54.7972;9.3764;false
Harsefeld;53.45;9.5;false
Harsewinkel;51.9667;8.2331;true
Harsum;52.2054;9.96;false
Hasbergen;52.2167;7.9167;false
Haselünne;52.6667;7.4667;false
Hatten;53.0083;8.3167;false
Hattersheim;50.0722;8.4864;false
Hattingen;51.3992;7.1858;false
Haßloch;49.35;8.25;false
Hechingen;48.3517;8.9633;false
Heide;54.1961;9.0933;false
Heidelberg;49.4167;8.7167;false
Heidenau;50.9833;13.8667;true
Heidenheim;48.6761;10.1544;false
Heikendorf;54.3722;10.2081;false
Heilbad Heiligenstadt;51.3789;10.1386;false
Heilbronn;49.15;9.2167;false
Heiligenhafen;54.3739;10.9797;false
Heiligenhaus;51.3167;6.9667;false
Heinsberg;51.0631;6.0964;false
Helmstedt;52.2281;11.0106;false
Hemer;51.3833;7.7667;false
Hemmingen;52.3236;9.7256;false
Hennef;50.7833;7.2833;false
Hennigsdorf;52.6378;13.2036;false
Henstedt-Ulzburg;53.7833;10;false
Heppenheim;49.6431;8.6389;false
Herborn;50.6825;8.3061;false
Herford;52.1333;8.6833;false
Hermsdorf;50.8981;11.8567;false
Herne;51.55;7.2167;false
Herrenberg;48.5967;8.8708;false
Herten;51.6;7.1333;false
Herxheim;49.1469;8.22;false
Herzberg;51.6833;13.2333;false
Herzberg am Harz;51.6575;10.3411;false
Herzogenaurach;49.57;10.8819;false
Herzogenrath;50.8667;6.1;false
Hessisch Lichtenau;51.2;9.7167;false
Hessisch Oldendorf;52.1667;9.25;false
Hettstedt;51.6333;11.5;false
Heusenstamm;50.05;8.8;false
Heusweiler;49.3375;6.9301;false
Hildburghausen;50.4167;10.75;false
Hilden;51.1714;6.9394;false
Hildesheim;52.15;9.95;true
Hilter;52.1357;8.1471;false
Hochheim am Main;50.0167;8.35;false
Hockenheim;49.3181;8.5472;false
Hof;50.3167;11.9167;false
Hofgeismar;51.4833;9.4;false
Hofheim;50.0833;8.45;false
Hohen Neuendorf;52.6667;13.2833;false
Hohenlockstedt;53.9667;9.6167;false
Hohenstein-Ernstthal;50.8;12.7167;false
Hohenwestedt;54.0833;9.6667;false
Holzkirchen;47.8833;11.7;false
Holzminden;51.8297;9.4483;false
Homburg;49.3167;7.3333;false
Hoppegarten;52.5167;13.6667;false
Horb am Neckar;48.4453;8.6911;false
Horst;53.8111;9.6183;false
Hoyerswerda;51.4333;14.25;false
Hude;53.1111;8.4625;false
Hungen;50.4667;8.9;false
Husum;54.4667;9.05;true
Höchst im Odenwald;49.7992;8.9942;false
Höxter;51.7667;9.3667;false
Hückelhoven;51.0608;6.2197;false
Hünfeld;50.6667;9.7667;false
Hürth;50.8775;6.8761;false
Ibbenbüren;52.2778;7.7167;false
Idar-Oberstein;49.7114;7.3131;false
Idstein;50.2206;8.2742;false
Illertissen;48.2167;10.0833;false
Illingen;49.3764;7.0525;false
Ilmenau;50.6839;10.9194;false
Ilsede;52.2667;10.1833;false
Ingelheim;49.9747;8.0564;false
Ingolstadt;48.7631;11.425;false
Iserlohn;51.3833;7.6667;false
Isernhagen-Süd;52.4342;9.8572;false
Ismaning;48.2264;11.6725;false
Itzehoe;53.925;9.5164;false
Jena;50.9272;11.5861;false
Jever;53.5744;7.9008;false
Jork;53.5344;9.6817;false
Jülich;50.9222;6.3583;true
Jüterbog;51.9933;13.0728;false
Kaarst;51.2167;6.6167;false
Kahla;50.8008;11.5875;true
Kaiserslautern;49.4447;7.7689;false
Kaltenkirchen;53.8397;9.9603;false
Kaltennordheim;50.6333;10.1667;false
Kamen;51.5917;7.6653;false
Kamenz;51.2667;14.1;false
Kamp-Lintfort;51.5;6.5333;true
Kappeln;54.6614;9.9311;false
Karben;50.2322;8.7681;false
Karlsfeld;48.2167;11.4667;false
Karlsruhe;49.0092;8.404;false
Karstädt;53.1605;11.7397;false
Kassel;51.3158;9.4979;false
Kaufbeuren;47.88;10.6225;false
Kaufungen;51.2811;9.6186;false
Kehl;48.5667;7.8167;false
Kelheim;48.9167;11.8667;false
Kelkheim (Taunus);50.1378;8.4497;false
Kellinghusen;53.95;9.7167;false
Kelsterbach;50.0617;8.5311;false
Kemnath;49.85;11.85;false
Kempen;51.3658;6.4194;false
Kempten;47.7333;10.3167;false
Kerpen;50.8719;6.6961;false
Kevelaer;51.5833;6.25;false
Kiel;54.3233;10.1394;false
Kirchhain;50.8167;8.9167;false
Kirchheim unter Teck;48.6483;9.4511;false
Kirchlinteln;52.9428;9.3183;false
Kirkel;49.2833;7.2333;false
Kitzingen;49.7333;10.1667;false
Kleinblittersdorf;49.1583;7.0381;false
Kleve;51.79;6.14;false
Klipphausen;51.0833;13.5333;false
Klötze;52.6263;11.1616;false
Koblenz;50.3597;7.5978;false
Kolbermoor;47.85;12.0667;false
Kolkwitz;51.7496;14.2457;true
Konstanz;47.6667;9.1833;false
Konz;49.7;6.5833;false
Korbach;51.2833;8.8667;false
Korntal-Münchingen;48.8306;9.1214;true
Kornwestheim;48.8598;9.1852;false
Korschenbroich;51.1833;6.5167;false
Krefeld;51.3333;6.5667;false
Kremmen;52.7667;13.0331;false
Kreuztal;50.9667;7.9667;false
Kriftel;50.0828;8.4667;false
Kronach;50.2411;11.3281;false
Kronberg;50.1833;8.5;true
Kronshagen;54.3333;10.0833;false
Kropp;54.4111;9.5087;false
Kulmbach;50.1;11.4333;false
Kurort Steinbach-Hallenberg;50.7006;10.5667;false
Kyritz;52.95;12.4;false
Kölleda;51.1667;11.2167;false
Königs Wusterhausen;52.2917;13.625;false
Königsbrunn;48.2689;10.8908;false
Königsee;50.6614;11.0972;false
Königslutter am Elm;52.25;10.8167;false
Königstein im Taunus;50.1833;8.4667;false
Königswinter;50.6736;7.1947;false
Köthen;51.75;11.9167;false
Künzell;50.55;9.7167;false
Künzelsau;49.2833;9.6833;false
Laatzen;52.3167;9.8;false
Laboe;54.4089;10.2308;false
Lage;51.9889;8.7944;false
Lahnstein;50.3011;7.6056;false
Lahstedt;52.25;10.2167;false
Lampertheim;49.6;8.4667;false
Landau;49.2;8.1167;false
Landsberg;51.5333;12.1667;false
Landshut;48.5397;12.1508;false
Langelsheim;51.9381;10.335;false
Langen;53.6116;8.6032;false
Langenau;48.4967;10.12;false
Langenfeld;51.1167;6.95;false
Langenhagen;52.4394;9.74;false
Langenselbold;50.1833;9.0333;false
Langgöns;50.5;8.6667;false
Langwedel;52.9999;9.1732;false
Lauchhammer;51.5;13.8;false
Lauenburg;53.3833;10.5667;true
Lauf;49.5103;11.2772;false
Laupheim;48.2289;9.8797;false
Lauterbach;50.6378;9.3944;false
Lebach;49.41;6.91;false
Leck;54.7744;8.9736;false
Leegebruch;52.7254;13.1936;false
Leer;53.2308;7.4528;true
Lehre;52.3167;10.6667;false
Lehrte;52.3667;9.9667;false
Leichlingen;51.1167;7.0167;false
Leimen;49.3481;8.6911;false
Leinefelde;51.3833;10.3333;false
Leinfelden-Echterdingen;48.6928;9.1428;false
Leipzig;51.34;12.375;false
Lemgo;52.0272;8.9117;false
Lengede;52.2049;10.3078;false
Lennestadt;51.1236;8.0681;false
Lensahn;54.2333;10.8833;false
Leonberg;48.8014;9.0131;false
Leuna;51.3167;12.0167;true
Leutkirch im Allgäu;47.8256;10.0222;true
Leverkusen;51.0333;6.9833;false
Lich;50.5217;8.8208;false
Lichtenfels;50.1333;11.0333;false
Lichtenstein;50.7564;12.6317;false
Limbach-Oberfrohna;50.8667;12.75;false
Limburg;50.3833;8.0667;true
Limburgerhof;49.4222;8.3919;true
Lindau;47.5458;9.6833;false
Lingen;52.5231;7.3231;false
Lippstadt;51.6667;8.35;true
Lohfelden;51.2716;9.5487;true
Lohmar;50.8167;7.2167;false
Lohne;52.6667;8.2386;false
Lollar;50.6497;8.7044;false
Lorsch;49.6539;8.5675;false
Loxstedt;53.4699;8.6479;true
Luckau;51.85;13.7167;false
Luckenwalde;52.0833;13.1667;false
Ludwigsburg;48.8975;9.1922;false
Ludwigsfelde;52.2997;13.2667;true
Ludwigshafen;49.4811;8.4353;false
Ludwigslust;53.3244;11.4972;false
Löbau;51.0944;14.6667;true
Löhne;52.2;8.7;false
Löningen;52.7167;7.7667;false
Lörrach;47.6167;7.6667;false
Löwenberg;52.896;13.1546;false
Lübbecke;52.3081;8.6231;false
Lübben (Spreewald);51.95;13.9;false
Lübbenau/Spreewald;51.8667;13.9667;false
Lübeck;53.8697;10.6864;false
Lüdenscheid;51.2167;7.6333;false
Lüneburg;53.2525;10.4144;false
Lünen;51.6167;7.5167;false
Lütjenburg;54.2947;10.5914;false
Magdeburg;52.1317;11.6392;false
Mainburg;48.65;11.7833;false
Maintal;50.15;8.8333;true
Mainz;49.9833;8.2667;false
Malente;54.1667;10.55;false
Mannheim;49.4878;8.4661;false
Marbach am Neckar;48.9333;9.25;false
Marburg;50.81;8.7708;false
Marienberg;50.6333;13.15;false
Markkleeberg;51.2778;12.3833;false
Markranstädt;51.3017;12.2211;false
Marktoberdorf;47.7667;10.6167;true
Marktredwitz;50;12.0667;false
Marl;51.6667;7.1167;false
Marne;53.95;9;false
Marpingen;49.45;7.05;false
Mayen;50.3333;7.2167;false
Mechernich;50.6;6.65;false
Meerane;50.8519;12.4636;false
Meerbusch;51.2667;6.6667;false
Meiningen;50.55;10.4167;false
Meißen;51.1667;13.4833;true
Meldorf;54.0833;9.0667;false
Melle;52.2044;8.3389;false
Melsungen;51.1333;9.55;false
Memmingen;47.9878;10.1811;false
Meppen;52.6936;7.2928;false
Merchweiler;49.3603;7.06;false
Merseburg;51.3544;11.9928;false
Merzig;49.45;6.6167;false
Meschede;51.35;8.2833;false
Mettlach;49.4917;6.5972;true
Mettmann;51.25;6.9667;true
Metzingen;48.5367;9.2858;true
Meuselwitz;51.05;12.3;false
Michelstadt;49.6786;9.0039;false
Michendorf;52.3129;13.0292;false
Mindelheim;48.0333;10.4667;false
Minden;52.2883;8.9167;false
Mittegroßefehn;53.3833;7.5833;false
Mittenwalde;52.2667;13.5333;false
Mittweida;50.9856;12.9811;false
Moers;51.4592;6.6197;false
Molfsee;54.2642;10.0656;false
Montabaur;50.4375;7.8258;false
Moosburg;48.4667;11.9333;false
Morbach;49.8167;7.1167;false
Mosbach;49.3522;9.1467;false
München;48.1375;11.575;false
Mutterstadt;49.4417;8.3561;false
Möckern;52.1406;11.9525;false
