city 1; city 2; d
Aachen;Alsdorf;14
Aachen;Baesweiler;16
Aachen;Düren;34
Aachen;Eschweiler;17
Aachen;Geilenkirchen;24
Aachen;Heinsberg;36
Aachen;Herzogenrath;12
Aachen;Hückelhoven;37
Aachen;Jülich;30
Aachen;Stolberg;13
Aachen;Würselen;6
Aalen;Crailsheim;40
Aalen;Eislingen;43
Aalen;Geislingen an der Steige;38
Aalen;Giengen an der Brenz;35
Aalen;Heidenheim;23
Aalen;Nördlingen;33
Aalen;Schwäbisch Gmünd;25
Achern;Baden-Baden;22
Achern;Bühl;10
Achern;Freudenstadt;44
Achern;Gaggenau;34
Achern;Kehl;29
Achern;Oberkirch;14
Achern;Offenburg;28
Achern;Rastatt;33
Achim;Bassum;41
Achim;Bremen;18
Achim;Delmenhorst;33
Achim;Ganderkesee;38
Achim;Kirchlinteln;29
Achim;Langwedel;16
Achim;Osterholz-Scharmbeck;35
Achim;Ottersberg;11
Achim;Oyten;1
Achim;Ritterhude;29
Achim;Scheeßel;37
Achim;Schwanewede;40
Achim;Stuhr;24
Achim;Syke;31
Achim;Weyhe;19
Achim;Zeven;39
Adendorf;Boizenburg;29
Adendorf;Büchen;33
Adendorf;Geesthacht;28
Adendorf;Glinde;44
Adendorf;Lauenburg;19
Adendorf;Lüneburg;5
Adendorf;Oststeinbek;45
Adendorf;Reinbek;39
Adendorf;Schwarzenbek;40
Adendorf;Seevetal;34
Adendorf;Stelle;27
Adendorf;Wentorf bei Hamburg;38
Adendorf;Winsen;22
Aerzen;Bad Münder am Deister;26
Aerzen;Bad Nenndorf;44
Aerzen;Bad Pyrmont;13
Aerzen;Barsinghausen;49
Aerzen;Bückeburg;36
Aerzen;Detmold;32
Aerzen;Hameln;10
Aerzen;Hessisch Oldendorf;17
Aerzen;Holzminden;42
Aerzen;Höxter;43
Aerzen;Lage;36
Aerzen;Lemgo;26
Aerzen;Porta Westfalica;41
Aerzen;Rinteln;27
Aerzen;Springe;30
Aerzen;Stadthagen;45
Aerzen;Wennigsen;44
Ahaus;Bad Bentheim;31
Ahaus;Borken;31
Ahaus;Coesfeld;19
Ahaus;Dülmen;36
Ahaus;Gronau;20
Ahaus;Schüttorf;34
Ahaus;Steinfurt;28
Ahlen;Beckum;12
Ahlen;Bergkamen;31
Ahlen;Hamm;12
Ahlen;Harsewinkel;40
Ahlen;Kamen;28
Ahlen;Lippstadt;38
Ahlen;Lünen;35
Ahlen;Münster;34
Ahlen;Oelde;24
Ahlen;Rheda-Wiedenbrück;34
Ahlen;Selm;35
Ahlen;Soest;31
Ahlen;Unna;33
Ahlen;Warendorf;25
Ahlen;Werl;30
Ahlen;Werne an der Lippe;25
Ahrensburg;Bad Oldesloe;20
Ahrensburg;Bad Segeberg;33
Ahrensburg;Bargteheide;6
Ahrensburg;Barmstedt;43
Ahrensburg;Barsbüttel;17
Ahrensburg;Büchen;40
Ahrensburg;Ellerau;29
Ahrensburg;Geesthacht;37
Ahrensburg;Glinde;20
Ahrensburg;Großhansdorf;4
Ahrensburg;Halstenbek;32
Ahrensburg;Hamburg;22
Ahrensburg;Henstedt-Ulzburg;27
Ahrensburg;Kaltenkirchen;32
Ahrensburg;Mölln;39
Ahrensburg;Norderstedt;20
Ahrensburg;Oststeinbek;21
Ahrensburg;Pinneberg;36
Ahrensburg;Quickborn;29
Ahrensburg;Ratzeburg;42
Ahrensburg;Reinbek;23
Ahrensburg;Reinfeld;29
Ahrensburg;Rellingen;34
Ahrensburg;Schenefeld;34
Ahrensburg;Schwarzenbek;31
Ahrensburg;Tangstedt;16
Ahrensburg;Tornesch;45
Ahrensburg;Trittau;16
Ahrensburg;Wahlstedt;39
Ahrensburg;Wentorf bei Hamburg;25
Ahrensburg;Winsen;59
Ahrensbök;Bad Oldesloe;33
Ahrensbök;Bad Schwartau;16
Ahrensbök;Bad Segeberg;25
Ahrensbök;Eutin;16
Ahrensbök;Grömitz;35
Ahrensbök;Lensahn;39
Ahrensbök;Lübeck;20
Ahrensbök;Lütjenburg;41
Ahrensbök;Malente;22
Ahrensbök;Neustadt in Holstein;21
Ahrensbök;Plön;22
Ahrensbök;Preetz;36
Ahrensbök;Ratekau;16
Ahrensbök;Reinfeld;25
Ahrensbök;Scharbeutz;13
Ahrensbök;Stockelsdorf;17
Ahrensbök;Süsel;12
Ahrensbök;Timmendorfer Strand;17
Ahrensbök;Trappenkamp;31
Ahrensbök;Wahlstedt;29
Ahrensfelde;Altlandsberg;11
Ahrensfelde;Basdorf;20
Ahrensfelde;Berlin;14
Ahrensfelde;Biesenthal;25
Ahrensfelde;Birkenwerder;32
Ahrensfelde;Blankenfelde;35
Ahrensfelde;Eberswalde;40
Ahrensfelde;Eichwalde;28
Ahrensfelde;Erkner;31
Ahrensfelde;Falkensee;36
Ahrensfelde;Großbeeren;35
Ahrensfelde;Grünheide;31
Ahrensfelde;Hennigsdorf;41
Ahrensfelde;Hohen Neuendorf;34
Ahrensfelde;Hoppegarten;12
Ahrensfelde;Königs Wusterhausen;37
Ahrensfelde;Leegebruch;42
Ahrensfelde;Mittenwalde;39
Ahrensfelde;Oranienburg;37
Ahrensfelde;Rangsdorf;43
Ahrensfelde;Rehfelde;27
Ahrensfelde;Schildow;19
Ahrensfelde;Schulzendorf;30
Ahrensfelde;Schönefeld;24
Ahrensfelde;Stahnsdorf;36
Ahrensfelde;Strausberg;24
Ahrensfelde;Teltow;31
Ahrensfelde;Velten;38
Ahrensfelde;Wandlitz;28
Ahrensfelde;Werneuchen;13
Ahrensfelde;Wildau;34
Ahrensfelde;Woltersdorf;25
Ahrensfelde;Zeuthen;29
Aichach;Augsburg;24
Aichach;Bobingen;40
Aichach;Dachau;33
Aichach;Friedberg;18
Aichach;Fürstenfeldbruck;38
Aichach;Gersthofen;25
Aichach;Gröbenzell;41
Aichach;Königsbrunn;33
Aichach;Neuburg;37
Aichach;Neusäß;29
Aichach;Olching;40
Aichach;Pfaffenhofen;34
Aichach;Schrobenhausen;16
Albstadt;Balingen;17
Albstadt;Hechingen;23
Albstadt;Mössingen;33
Albstadt;Pfullingen;43
Albstadt;Reutlingen;46
Albstadt;Rottweil;36
Albstadt;Sigmaringen;24
Albstadt;Trossingen;43
Albstadt;Tuttlingen;43
Albstadt;Tübingen;45
Alfeld;Bad Münder am Deister;41
Alfeld;Bad Salzdetfurth;21
Alfeld;Einbeck;25
Alfeld;Hameln;44
Alfeld;Harsum;33
Alfeld;Hildesheim;26
Alfeld;Holzminden;37
Alfeld;Nordstemmen;22
Alfeld;Northeim;44
Alfeld;Pattensen;36
Alfeld;Sarstedt;34
Alfeld;Seesen;34
Alfeld;Springe;38
Alsdorf;Baesweiler;2
Alsdorf;Düren;32
Alsdorf;Erkelenz;26
Alsdorf;Eschweiler;14
Alsdorf;Geilenkirchen;12
Alsdorf;Heinsberg;24
Alsdorf;Herzogenrath;7
Alsdorf;Hückelhoven;23
Alsdorf;Jülich;20
Alsdorf;Stolberg;18
Alsdorf;Wegberg;32
Alsdorf;Würselen;9
Alsfeld;Bad Hersfeld;40
Alsfeld;Grünberg;34
Alsfeld;Kirchhain;30
Alsfeld;Lauterbach;17
Alsfeld;Schotten;40
Alsfeld;Schwalmstadt;26
Alsfeld;Stadtallendorf;26
Altenburg;Borna;19
Altenburg;Burgstädt;33
Altenburg;Crimmitschau;23
Altenburg;Frohburg;14
Altenburg;Gera;31
Altenburg;Glauchau;24
Altenburg;Grimma;41
Altenburg;Hohenstein-Ernstthal;36
Altenburg;Lichtenstein;34
Altenburg;Limbach-Oberfrohna;31
Altenburg;Markkleeberg;43
Altenburg;Meerane;18
Altenburg;Meuselwitz;12
Altenburg;Mülsen;35
Altenburg;Nobitz;4
Altenburg;Ronneburg;26
Altenburg;Schmölln;12
Altenburg;Werdau;33
Altenburg;Zeitz;24
Altenburg;Zwickau;34
Altenholz;Bordesholm;30
Altenholz;Büdelsdorf;38
Altenholz;Eckernförde;25
Altenholz;Flintbek;23
Altenholz;Gettorf;13
Altenholz;Heikendorf;23
Altenholz;Kappeln;52
Altenholz;Kiel;11
Altenholz;Kronshagen;11
Altenholz;Laboe;30
Altenholz;Lütjenburg;47
Altenholz;Molfsee;19
Altenholz;Nortorf;38
Altenholz;Osterrönfeld;40
Altenholz;Plön;40
Altenholz;Preetz;27
Altenholz;Rendsburg;42
Altenholz;Schönberg in Holstein;32
Altenholz;Schönkirchen;20
Altenstadt;Alzenau in Unterfranken;34
Altenstadt;Bad Homburg;30
Altenstadt;Bad Nauheim;19
Altenstadt;Bad Orb;45
Altenstadt;Bad Soden-Salmünster;47
Altenstadt;Bad Vilbel;23
Altenstadt;Bruchköbel;14
Altenstadt;Butzbach;31
Altenstadt;Büdingen;13
Altenstadt;Dietzenbach;46
Altenstadt;Erlensee;24
Altenstadt;Eschborn;39
Altenstadt;Frankfurt;31
Altenstadt;Friedrichsdorf;27
Altenstadt;Gelnhausen;25
Altenstadt;Grünberg;46
Altenstadt;Hanau;21
Altenstadt;Heusenstamm;40
Altenstadt;Hungen;29
Altenstadt;Karben;16
Altenstadt;Kronberg;41
Altenstadt;Langenselbold;16
Altenstadt;Langgöns;43
Altenstadt;Lich;39
Altenstadt;Maintal;23
Altenstadt;Neu Isenburg;41
Altenstadt;Neu-Anspach;36
Altenstadt;Nidda;20
Altenstadt;Nidderau;14
Altenstadt;Obertshausen;36
Altenstadt;Oberursel;33
Altenstadt;Rodenbach;22
Altenstadt;Rodgau;38
Altenstadt;Rosbach vor der Höhe;21
Altenstadt;Schotten;34
Altenstadt;Seligenstadt;37
Altenstadt;Steinbach am Taunus;36
Altenstadt;Usingen;38
Altenstadt;Wächtersbach;43
Altlandsberg;Bad Freienwalde;39
Altlandsberg;Basdorf;38
Altlandsberg;Berlin;24
Altlandsberg;Biesenthal;29
Altlandsberg;Birkenwerder;40
Altlandsberg;Blankenfelde;40
Altlandsberg;Eberswalde;38
Altlandsberg;Eichwalde;34
Altlandsberg;Erkner;22
Altlandsberg;Fürstenwalde;43
Altlandsberg;Grünheide;22
Altlandsberg;Hohen Neuendorf;42
Altlandsberg;Hoppegarten;8
Altlandsberg;Königs Wusterhausen;42
Altlandsberg;Müncheberg;35
Altlandsberg;Rehfelde;16
Altlandsberg;Schildow;34
Altlandsberg;Schulzendorf;34
Altlandsberg;Schönefeld;29
Altlandsberg;Strausberg;13
Altlandsberg;Wandlitz;36
Altlandsberg;Werneuchen;12
Altlandsberg;Wildau;40
Altlandsberg;Woltersdorf;14
Altlandsberg;Wriezen;36
Altlandsberg;Zeuthen;35
Alzenau in Unterfranken;Aschaffenburg;18
Alzenau in Unterfranken;Babenhausen;18
Alzenau in Unterfranken;Bad Orb;36
Alzenau in Unterfranken;Bad Soden-Salmünster;38
Alzenau in Unterfranken;Bad Vilbel;34
Alzenau in Unterfranken;Bruchköbel;22
Alzenau in Unterfranken;Büdingen;35
Alzenau in Unterfranken;Dieburg;30
Alzenau in Unterfranken;Dietzenbach;26
Alzenau in Unterfranken;Dreieich;32
Alzenau in Unterfranken;Egelsbach;37
Alzenau in Unterfranken;Erlensee;16
Alzenau in Unterfranken;Frankfurt;37
Alzenau in Unterfranken;Gelnhausen;23
Alzenau in Unterfranken;Groß-Umstadt;30
Alzenau in Unterfranken;Groß-Zimmern;34
Alzenau in Unterfranken;Großostheim;22
Alzenau in Unterfranken;Hanau;18
Alzenau in Unterfranken;Heusenstamm;31
Alzenau in Unterfranken;Höchst im Odenwald;40
Alzenau in Unterfranken;Karben;36
Alzenau in Unterfranken;Langenselbold;21
Alzenau in Unterfranken;Maintal;26
Alzenau in Unterfranken;Neu Isenburg;38
Alzenau in Unterfranken;Nidderau;34
Alzenau in Unterfranken;Ober-Ramstadt;43
Alzenau in Unterfranken;Obertshausen;30
Alzenau in Unterfranken;Reinheim;40
Alzenau in Unterfranken;Rodenbach;20
Alzenau in Unterfranken;Rodgau;18
Alzenau in Unterfranken;Roßdorf;38
Alzenau in Unterfranken;Seligenstadt;11
Alzenau in Unterfranken;Wächtersbach;34
Alzey;Bad Dürkheim;38
Alzey;Bad Kreuznach;25
Alzey;Bingen am Rhein;35
Alzey;Bischofsheim;39
Alzey;Bobenheim-Roxheim;34
Alzey;Bürstadt;34
Alzey;Büttelborn;41
Alzey;Frankenthal;37
Alzey;Geisenheim;40
Alzey;Gernsheim;30
Alzey;Ginsheim-Gustavsburg;36
Alzey;Griesheim;44
Alzey;Groß-Gerau;38
Alzey;Grünstadt;24
Alzey;Hochheim am Main;42
Alzey;Ingelheim;33
Alzey;Lampertheim;37
Alzey;Lorsch;43
Alzey;Mainz;33
Alzey;Nauheim;46
Alzey;Nieder-Olm;22
Alzey;Oestrich-Winkel;42
Alzey;Rüsselsheim;44
Alzey;Trebur;35
Alzey;Worms;27
Amberg;Neumarkt;37
Amberg;Schwandorf;24
Amberg;Sulzbach-Rosenberg;11
Andernach;Bad Honnef am Rhein;29
Andernach;Bad Neuenahr-Ahrweiler;28
Andernach;Bendorf;15
Andernach;Boppard;38
Andernach;Koblenz;18
Andernach;Königswinter;33
Andernach;Lahnstein;26
Andernach;Mayen;22
Andernach;Montabaur;40
Andernach;Mülheim-Kärlich;10
Andernach;Neuwied;7
Andernach;Remagen;20
Andernach;Sinzig;16
Angermünde;Bad Freienwalde;32
Angermünde;Eberswalde;27
Angermünde;Prenzlau;43
Angermünde;Schwedt (Oder);21
Angermünde;Templin;45
Annaberg-Buchholz;Aue;26
Annaberg-Buchholz;Chemnitz;34
Annaberg-Buchholz;Flöha;38
Annaberg-Buchholz;Hohenstein-Ernstthal;40
Annaberg-Buchholz;Lichtenstein;42
Annaberg-Buchholz;Marienberg;16
Annaberg-Buchholz;Olbernhau;34
Annaberg-Buchholz;Schneeberg;32
Annaberg-Buchholz;Schwarzenberg;23
Annaberg-Buchholz;Stollberg;29
Annaberg-Buchholz;Zwönitz;21
Ansbach;Gunzenhausen;27
Ansbach;Oberasbach;35
Ansbach;Schwabach;36
Ansbach;Zirndorf;36
Apen;Bad Zwischenahn;16
Apen;Barßel;8
Apen;Edewecht;19
Apen;Friedeburg;32
Apen;Friesoythe;25
Apen;Garrel;40
Apen;Leer;30
Apen;Mittegroßefehn;31
Apen;Oldenburg;35
Apen;Ostrhauderfehn;21
Apen;Papenburg;41
Apen;Rastede;33
Apen;Rhaude;22
Apen;Varel;32
Apen;Wardenburg;37
Apen;Weener;42
Apen;Westerstede;8
Apen;Wiefelstede;27
Apen;Wiesmoor;23
Apen;Zetel;29
Apolda;Bad Berka;25
Apolda;Bad Sulza;13
Apolda;Blankenhain;26
Apolda;Buttstädt;17
Apolda;Eisenberg;34
Apolda;Erfurt;44
Apolda;Hermsdorf;36
Apolda;Jena;14
Apolda;Kahla;29
Apolda;Kölleda;36
Apolda;Naumburg;31
Apolda;Stadtroda;33
Apolda;Sömmerda;40
Apolda;Weimar;18
Arnsberg;Brilon;43
Arnsberg;Hemer;31
Arnsberg;Iserlohn;40
Arnsberg;Lennestadt;46
Arnsberg;Meschede;20
Arnsberg;Plettenberg;35
Arnsberg;Soest;25
Arnsberg;Sundern;12
Arnsberg;Unna;43
Arnsberg;Werl;28
Arnstadt;Bad Berka;31
Arnstadt;Bad Blankenburg;35
Arnstadt;Blankenhain;38
Arnstadt;Erfurt;20
Arnstadt;Friedrichroda;33
Arnstadt;Gotha;25
Arnstadt;Großbreitenbach;37
Arnstadt;Ilmenau;21
Arnstadt;Kurort Steinbach-Hallenberg;42
Arnstadt;Königsee;28
Arnstadt;Ohrdruf;22
Arnstadt;Rudolstadt;38
Arnstadt;Stadtilm;13
Arnstadt;Suhl;39
Arnstadt;Waltershausen;33
Arnstadt;Weimar;36
Arnstadt;Zella-Mehlis;34
Artern;Bad Frankenhausen;17
Artern;Buttstädt;36
Artern;Greußen;37
Artern;Hettstedt;39
Artern;Kölleda;32
Artern;Querfurt;25
Artern;Sangerhausen;13
Artern;Sondershausen;38
Artern;Sömmerda;32
Aschaffenburg;Babenhausen;16
Aschaffenburg;Bad Orb;46
Aschaffenburg;Bruchköbel;35
Aschaffenburg;Dieburg;25
Aschaffenburg;Dietzenbach;31
Aschaffenburg;Dreieich;38
Aschaffenburg;Egelsbach;48
Aschaffenburg;Erlensee;29
Aschaffenburg;Gelnhausen;44
Aschaffenburg;Groß-Umstadt;23
Aschaffenburg;Groß-Zimmern;29
Aschaffenburg;Großostheim;9
Aschaffenburg;Hanau;33
Aschaffenburg;Heusenstamm;33
Aschaffenburg;Höchst im Odenwald;28
Aschaffenburg;Langenselbold;33
Aschaffenburg;Maintal;39
Aschaffenburg;Michelstadt;43
Aschaffenburg;Neu Isenburg;39
Aschaffenburg;Ober-Ramstadt;38
Aschaffenburg;Obertshausen;31
Aschaffenburg;Reinheim;33
Aschaffenburg;Rodenbach;33
Aschaffenburg;Rodgau;24
Aschaffenburg;Roßdorf;34
Aschaffenburg;Seligenstadt;18
Aschaffenburg;Wächtersbach;57
Aschersleben;Bernburg;23
Aschersleben;Halberstadt;38
Aschersleben;Hettstedt;17
Aschersleben;Köthen;39
Aschersleben;Oschersleben;46
Aschersleben;Quedlinburg;27
Aschersleben;Sangerhausen;42
Aschersleben;Staßfurt;20
Aschersleben;Thale;38
Aue;Auerbach;28
Aue;Chemnitz;37
Aue;Crimmitschau;44
Aue;Glauchau;35
Aue;Hohenstein-Ernstthal;31
Aue;Lichtenstein;23
Aue;Limbach-Oberfrohna;44
Aue;Marienberg;43
Aue;Meerane;44
Aue;Mülsen;27
Aue;Reichenbach/Vogtland;38
Aue;Schneeberg;6
Aue;Schwarzenberg;7
Aue;Stollberg;16
Aue;Werdau;37
Aue;Zwickau;26
Aue;Zwönitz;11
Auerbach;Crimmitschau;43
Auerbach;Greiz;26
Auerbach;Lichtenstein;40
Auerbach;Mülsen;36
Auerbach;Plauen;28
Auerbach;Reichenbach/Vogtland;18
Auerbach;Schneeberg;26
Auerbach;Schwarzenberg;35
Auerbach;Stollberg;45
Auerbach;Werdau;32
